"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"328","Rasheen Ali","BLT","rb","7","10","1.7","0","0","0","0","0","0","1.2225","5.3159","0.0391","0.2684","0.2215","1.5763","0.0087","0.0189","0.0086","0.0026","350.9451","0.0897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"329","Julius Chestnut","TEN","rb","10","9","1.6","0","0","0","0","0","0","2.0516","8.1845","0.0588","0.2907","0.2256","1.4981","0.0061","0.0302","0.0135","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"330","DJ Giddens","IND","rb","11","9","1.5","0","0","0","0","0","0","1.6913","7.0013","0.0584","0.289","0.2331","1.5448","0.0084","0.0254","0.0114","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","Sterling Shepard","TB","wr","9","9","24.8","0","0","0","0","0","0","0","0","0","14.3788","10.1274","104.0714","0.6919","0","0","0.0405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"332","Kene Nwangwu","NYJ","rb","9","9","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","458.184","0.2208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"333","Michael Carter","ARZ","rb","8","1","1.3","0","0","0","0","0","0","1.1566","5.0599","0.0349","0.3511","0.2834","2.0797","0.0096","0.0187","0.0086","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"334","Patrick Ricard","BLT","rb","7","10","0.9","0","0","0","0","0","0","0.7335","3.1584","0.0241","0.2684","0.2193","1.5919","0.0105","0.0123","0.0057","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"335","Trey Sermon","PIT","rb","5","10","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","430.8639","0.1101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","George Holani","SEA","rb","8","10","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","449.9531","0.115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"337","Isaac Guerendo","SF","rb","14","9","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","363.2985","0.0928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"338","Jacob Saylors","DET","rb","8","10","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","312.9733","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"339","Kendre Miller","NO","rb","11","9","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","355.5465","0.0909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","Jamari Thrash","CLV","wr","9","9","23.5","0","0","0","0","0","0","0","0","0","15.5555","9.9456","104.0566","0.508","0","0","0.0328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"341","Joe Burrow","CIN","qb","10","3","49.2","66.9771","91.9669","675.1465","5.0762","1.589","7.8919","8.6367","30.9294","0.248","0","0","0","0","0","0","0.2602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"342","Adam Thielen","MIN","wr","6","10","22.7","0","0","0","0","0","0","0","0","0","14.1887","9.5424","98.8546","0.5353","0","0","0.0325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"343","Tyrell Shavers","BUF","wr","7","10","22.3","0","0","0","0","0","0","0","0","0","13.1201","8.3837","102.3016","0.5981","0","0","0.0439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344","Kalif Raymond","DET","wr","8","10","22.1","0","0","0","0","0","0","2.6399","16.4489","0.1092","10.395","7.4872","82.9703","0.4216","0.1164","0.0603","0.0389","583.8113","0.2514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"345","Jalen Tolbert","DAL","wr","10","9","21.3","0","0","0","0","0","0","0","0","0","12.0371","7.696","93.1237","0.6879","0","0","0.0332","88.2588","0.0226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"346","Cedrick Wilson Jr.","MIA","wr","12","9","20.5","0","0","0","0","0","0","0","0","0","11.6588","7.8372","91.8562","0.5627","0","0","0.0309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"347","Tylan Wallace","BLT","wr","7","10","19.4","0","0","0","0","0","0","0","0","0","10.4681","7.2749","86.5739","0.5613","0","0","0.0393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"348","Tutu Atwell","LA","wr","8","6","18.9","0","0","0","0","0","0","0","0","0","11.2511","7.1334","88.9959","0.4745","0","0","0.0311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"349","Ryan Flournoy","DAL","wr","10","9","17.9","0","0","0","0","0","0","0","0","0","10.4104","7.3021","79.4151","0.4398","0","0","0.0287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Casey Washington","ATL","wr","5","10","17.8","0","0","0","0","0","0","0","0","0","10.7714","6.2385","88.7626","0.4472","0","0","0.026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
