"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Davante Adams","LA","7","WR","62","31","1","431","1","6","1","4","50","13.08","6.95","13.9","2.35","24","9","6","38.7","29","100","13","6","21","19.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110.1","0.3","3.55"
"Adam Thielen","MIN","6","WR","10","5","0","47","0","0","0","1","50","11.6","4.7","9.4","0.6","2","1","0","20","20","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","9.7","0.07","1.94"
"Keenan Allen","LAC","7","WR","64","44","0","435","1","4","0","3","68.8","8.61","6.8","9.89","2.93","16","9","4","25","20.5","100","8","4","12.5","9.1","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","111.5","0.37","2.53"
"DeAndre Hopkins","BLT","6","WR","13","9","1","178","0","2","0","0","69.2","17.31","13.69","19.78","3.11","5","4","2","38.5","44.4","100","1","1","7.7","11.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.8","0.4","4.31"
"Dylan Sampson","CLV","7","RB","16","15","0","104","0","1","0","1","93.8","-1.44","6.5","6.93","8.73","1","1","1","6.3","6.7","100","1","1","6.3","6.7","100","25","0","51","0","0","0","2.04","2","1","0.04","0","3","0","12","0","0","0","0","0","0","0","36.5","0.38","0.91"
"Omarion Hampton","LAC","5","RB","21","20","0","136","0","0","0","0","95.2","-1.29","6.48","6.8","8.3","0","0","0","0","0","0","0","0","0","0","0","66","1","314","1","2","1","4.76","3.79","22","0.33","1","12","1","18.2","50","4","1","6.1","50","0","0","77","0.31","0.9"
"LeQuint Allen","JAX","7","RB","6","5","0","34","0","0","0","0","83.3","-0.67","5.67","6.8","6","1","1","0","16.7","20","0","0","0","0","0","0","4","0","22","0","0","0","5.5","3.25","0","0","0","1","0","25","0","0","0","0","0","0","0","10.6","0.11","1.18"
"Ollie Gordon II","MIA","7","RB","6","4","0","7","0","0","0","0","66.7","-1.33","1.17","1.75","4","0","0","0","0","0","0","0","0","0","0","0","28","0","70","0","1","0","2.5","2.43","5","0.18","0","8","1","28.6","100","2","1","7.1","100","0","0","17.7","0.19","0.55"
"Trevor Etienne","CAR","7","RB","2","2","0","9","0","0","0","0","100","0.5","4.5","4.5","4","0","0","0","0","0","0","0","0","0","0","0","15","0","76","0","0","0","5.07","3.27","3","0.2","0","4","0","26.7","0","1","0","6.7","0","0","0","10.5","0.24","0.62"
"Jaydon Blue","DAL","3","RB","1","1","0","5","0","0","0","0","100","-5","5","5","10","0","0","0","0","0","0","0","0","0","0","0","14","0","36","0","0","0","2.57","2.07","2","0.14","0","0","0","0","0","0","0","0","0","0","0","5.1","0.16","0.34"
"Ashton Jeanty","LV","7","RB","19","15","0","86","0","2","0","0","78.9","-1.84","4.53","5.73","7.53","3","3","2","15.8","20","100","0","0","0","0","0","111","1","445","1","3","1","4.01","3.46","26","0.23","1","17","2","15.3","66.7","3","2","2.7","66.7","0","1","98.1","0.35","0.78"
"Quinshon Judkins","CLV","6","RB","11","9","0","62","0","0","0","0","81.8","-0.09","5.64","6.89","6.44","0","0","0","0","0","0","0","0","0","0","0","109","1","467","1","5","1","4.28","3.85","21","0.19","0","20","4","18.3","80","7","4","6.4","80","0","0","91.9","0.45","0.78"
"Kaleb Johnson","PIT","4","RB","1","0","0","0","0","0","0","1","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","36","0","0","0","2.57","2.14","2","0.14","0","2","0","14.3","0","0","0","0","0","0","0","3.6","0.14","0.26"
"Emanuel Wilson","GB","6","RB","5","5","0","31","0","0","0","0","100","-5","6.2","6.2","11.2","1","1","0","20","20","0","0","0","0","0","0","24","0","101","0","0","0","4.21","3.5","2","0.08","0","3","0","12.5","0","0","0","0","0","0","0","18.2","0.23","0.63"
